"1","SM-S2","9/8/2020","09h00-10h00","Electrostat-Electrocin"
"2","SM-S2","9/8/2020","10h00-11h00","Optique géométrique"
"3","SM-S2","9/10/2020","09h00-10h00","Liaisons chimiques"
"4","SM-S2","9/10/2020","10h00-11h00","Chimie des solutions"
"5","SM-S2","9/12/2020","09h00-10h00","Analyse 2"
"6","SM-S2","9/12/2020","10h00-11h00","Algèbre 2"
"7","SM-S2","9/14/2020","09h00-10h00","Langue 2 et terminologie 2"
"8","SMP-S4","9/7/2020","09h00-10h00","Electricité 3"
"9","SMP-S4","9/7/2020","10h00-11h00","Mécanique quantique"
"10","SMP-S4","9/9/2020","09h00-10h00","Optique physique"
"11","SMP-S4","9/9/2020","10h00-11h00","Informatique"
"12","SMP-S4","9/11/2020","09h00-10h00","Electronique de base"
"13","SMP-S4","9/11/2020","10h00-11h00","Cristallographie géométrique-cristallochimie"
"14","SMP-S6","9/8/2020","15h00-16h00","Ondes et vibrations"
"15","SMP-S6","9/8/2020","16h00-17h00","Physique subatomique"
"16","SMP-S6","9/10/2020","15h00-16h00","Mécanique des fluides-transfert thermique"
"17","SMP-S6","9/10/2020","16h00-17h00","Détéction et mesure de rayonnement"
"18","SMP-S6","9/12/2020","15h00-16h00"," Projet tutoré 1 "
"19","SMC-S4","9/7/2020","09h00-10h00","Hydrocarbures - fonctions monovalentes"
"20","SMC-S4","9/7/2020","10h00-11h00","Mécanique quantique"
"21","SMC-S4","9/9/2020","09h00-10h00","Thermodynamique chimique"
"22","SMC-S4","9/9/2020","10h00-11h00","Informatique"
"23","SMC-S4","9/11/2020","09h00-10h00","Probabilités et statistiques"
"24","SMC-S4","9/11/2020","10h00-11h00","Cristallographie géométrique-cristallochimie"
"25","SMC-S6-TC","9/8/2020","15h00-16h00","Les grandes classes des réactions organiques"
"26","SMC-S6-TC","9/8/2020","16h00-17h00","Chimie descriptive2 - chimie de coordination"
"27","SMC-S6-TC","9/10/2020","15h00-16h00","Tech. séparat  classiques et  chromatographiques"
"28","SMC-S6-TC","9/12/2020","15h00-16h00"," Projet tutoré 1 "
"29","SMC-S6-1","9/8/2020","15h00-16h00","Les grandes classes des réactions organiques"
"30","SMC-S6-1","9/8/2020","16h00-17h00","Chimie descriptive2 - chimie de coordination"
"31","SMC-S6-1","9/10/2020","15h00-16h00","Tech. séparat  classiques et  chromatographiques"
"32","SMC-S6-1","9/12/2020","15h00-16h00"," Projet tutoré 1 "
"33","SMC-S6-4","9/8/2020","15h00-16h00","Les grandes classes des réactions organiques"
"34","SMC-S6-4","9/8/2020","16h00-17h00","Chimie descriptive2 - chimie de coordination"
"35","SMC-S6-4","9/10/2020","15h00-16h00","Tech. séparat  classiques et  chromatographiques"
"36","SMC-S6-4","9/12/2020","15h00-16h00"," Projet tutoré 1 "
"37","SMC-S6-5","9/8/2020","15h00-16h00","Les grandes classes des réactions organiques"
"38","SMC-S6-5","9/8/2020","16h00-17h00","Chimie descriptive2 - chimie de coordination"
"39","SMC-S6-5","9/10/2020","15h00-16h00","Tech. séparat  classiques et  chromatographiques"
"40","SMC-S6-5","9/12/2020","15h00-16h00"," Projet tutoré 1 "
"41","SMC-S6-1","9/10/2020","16h00-17h00","1: Hétérocycles aromatiques et produits naturels"
"42","SMC-S6-4","9/10/2020","16h00-17h00","4: Génie chimique et applications"
"43","SMC-S6-5","9/10/2020","16h00-17h00","5: Chimie de l’environnement"
"44","SVT-S2","9/7/2020","15h00-16h00","Chimie organique"
"45","SVT-S2","9/7/2020","16h00-17h00","Physique 2 "
"46","SVT-S2","9/9/2020","15h00-16h00","Géodynamique externe"
